time_s	time_ms	time_ms_smooth
5.482	36.556	36.907
5.515	39.512	36.868
5.541	36.969	37.040
5.566	33.816	37.034
5.597	36.472	36.849
5.624	36.236	36.862
5.656	39.507	36.881
5.677	32.905	36.949
5.681	36.584	36.990
5.707	34.872	36.995
5.739	38.231	36.949
5.769	39.663	36.756
5.792	34.308	36.730
5.822	36.394	36.657
5.853	39.162	36.487
5.879	36.242	36.559
5.905	34.890	36.437
5.936	37.063	36.368
5.968	40.123	36.439
5.990	34.715	36.234
6.020	36.864	36.251
6.050	36.984	36.261
6.075	34.699	36.388
6.109	39.435	36.688
6.134	36.040	36.531
6.161	34.730	36.632
6.190	35.260	36.570
6.222	38.769	36.410
6.242	30.789	36.423
6.274	34.737	36.618
6.306	38.017	36.467
6.331	34.382	36.235
6.357	33.315	36.333
6.389	36.848	36.299
6.419	38.042	36.483
6.454	45.732	36.444
6.473	35.741	36.369
6.502	36.833	36.502
6.528	34.843	36.576
6.556	35.157	36.592
6.586	36.565	36.497
6.618	39.764	36.896
6.640	33.289	36.849
6.669	34.320	36.777
6.700	37.181	36.988
6.727	35.993	37.142
6.733	41.589	37.063
6.753	33.722	37.021
6.785	37.566	36.739
6.816	39.369	36.604
6.841	36.573	36.520
6.868	35.655	36.607
6.897	36.401	36.616
6.930	40.762	36.549
6.951	33.556	36.491
6.982	36.220	36.756
7.014	39.664	36.727
7.040	37.166	36.720
7.065	34.877	36.842
7.096	36.996	37.312
7.126	38.666	37.649
7.148	32.373	37.572
7.178	34.727	37.594
7.209	37.013	37.539
7.236	35.393	37.595
7.263	34.883	37.709
7.295	38.326	37.524
7.325	39.907	37.542
7.347	33.601	37.644
7.378	37.013	37.602
7.409	39.025	37.413
7.452	53.339	37.471
7.468	42.152	37.478
7.490	35.650	37.351
7.523	39.904	37.489
7.546	35.203	37.529
7.576	37.056	37.594
7.606	39.250	37.458
7.631	36.144	37.443
7.657	33.997	37.430
7.691	38.776	37.348
7.719	38.621	37.316
7.741	32.441	37.274
7.773	36.310	37.327
7.802	37.173	36.559
7.829	35.499	36.354
7.857	35.827	36.518
7.886	35.727	36.235
7.917	38.622	36.210
7.938	32.003	36.269
7.969	34.520	36.234
8.001	37.992	36.496
8.030	37.861	36.514
8.052	32.792	36.569
8.083	35.971	37.072
8.116	40.344	37.531
8.138	34.140	37.565
8.169	37.022	37.573
8.200	39.766	37.561
8.221	32.806	37.644
8.251	34.600	37.627
8.283	38.514	37.509
8.313	38.385	37.720
8.346	42.700	37.925
8.366	34.430	37.876
8.402	40.168	37.752
8.442	51.180	37.953
8.462	43.915	37.921
8.484	37.178	37.625
8.512	37.352	37.753
8.538	35.200	37.759
8.569	37.922	37.566
8.594	35.296	37.777
8.622	35.661	37.805
8.652	37.288	37.626
8.683	39.645	37.588
8.709	36.766	37.424
8.735	34.766	37.351
8.766	37.799	37.200
8.792	35.191	36.704
8.817	32.946	36.364
8.850	37.323	36.267
8.879	37.169	36.259
8.905	34.947	36.386
8.937	38.087	36.336
8.963	35.290	36.269
8.990	34.043	36.386
9.021	37.435	36.324
9.051	38.615	36.077
9.073	32.593	36.089
9.105	36.398	36.480
9.136	38.784	36.447
9.162	35.400	36.363
9.188	34.770	36.490
9.219	37.136	36.591
9.249	38.382	36.443
9.275	36.667	36.512
9.301	33.615	36.556
9.334	38.584	36.661
9.360	35.756	36.660
9.385	33.465	36.675
9.417	37.054	36.737
9.453	44.554	36.796
9.474	36.964	36.795
9.498	33.106	36.798
9.530	36.121	36.829
9.562	39.834	36.831
9.584	33.478	36.819
9.615	36.674	36.813
9.646	39.181	36.602
9.673	37.918	36.629
9.697	34.014	36.550
9.729	37.824	36.753
9.760	40.160	36.704
9.782	34.072	36.640
9.813	36.352	36.424
9.844	38.880	36.389
9.869	36.156	36.426
9.896	34.826	36.518
9.926	36.838	36.559
9.957	38.228	36.580
9.978	31.396	36.552
10.008	34.301	36.477
10.039	36.604	36.446
10.072	40.825	36.469
10.092	32.239	36.840
10.123	35.453	36.950
10.155	39.155	36.851
10.180	36.096	36.787
10.206	34.017	36.785
10.239	38.433	36.782
10.271	40.867	36.717
